-7,-7,11:-4,0,-8,-10,0,-2,26
-8,9,8:-4,0,-8,-10,0,26,16
-7,9,8:-4,0,-8,-10,0,26,18
-4,5,10:-4,0,-8,-10,2,-4,10
-3,11,6:-4,0,-8,-10,8,-4,0
-3,-1,12:-4,0,-8,-10,8,6,0
-3,8,5:-4,0,-8,-4,2,-14,2
-3,0,4:-4,0,-8,-4,2,0,-8
-16,16,-12:-4,0,-8,-4,10,4,-14
-3,1,-7:-4,0,-8,-2,-4,-6,-20
-3,18,-1:-4,0,-8,-2,-4,-6,-10
-17,-12,-8:-4,0,-8,6,-14,-20,-12
-17,-6,-16:-4,0,-8,6,-14,-18,2
-7,0,12:-4,0,-8,6,-12,-12,6
-3,-1,7:-4,0,-8,6,8,0,-8
-8,-1,0:-4,0,-8,6,10,-14,-6
-8,-5,-10:-4,0,-8,6,10,-14,0
-3,1,9:-4,0,-8,8,10,-8,6
-3,6,8:-4,0,-8,8,10,4,-6
-8,1,0:-4,0,-2,-10,4,2,4
-7,-5,5:-4,0,-2,4,0,-8,8
-3,25,8:-4,0,0,-6,-10,2,-24
-3,13,11:-4,0,0,10,8,6,8
-3,11,12:-4,0,0,10,8,6,14
-3,12,5:-4,0,0,10,8,10,-2
-3,17,-8:-4,0,0,10,10,-8,-14
-3,15,16:-4,0,2,-6,-14,-10,4
-3,9,7:-4,0,4,-6,-8,-6,-10
-3,13,-1:-4,0,4,-6,-4,-8,-6
-3,20,8:-4,0,4,-6,4,-6,-14
-3,12,4:-4,0,4,-4,2,-4,-12
-4,11,4:-4,0,4,-4,2,8,-2
-3,4,-4:-4,0,4,4,0,-6,-4
-3,7,-7:-4,0,4,6,-18,-14,-18
-3,11,-17:-4,0,4,6,-16,-22,-24
-3,9,-5:-4,0,4,6,-8,-8,-18
-3,22,11:-4,0,6,-6,-14,-10,2
-6,7,15:-4,0,6,-2,14,14,4
-3,2,1:-4,0,6,4,-6,-10,-2
-3,4,1:-4,0,6,4,-6,-10,6
-3,7,4:-4,0,6,4,-6,-2,-8
-4,12,-4:-4,0,6,4,-6,4,-12
-10,19,0:-4,0,8,-2,-14,-6,18
-10,17,-2:-4,0,8,-2,-2,-10,18
-6,6,11:-4,0,8,6,-2,-4,-6
-3,12,16:-4,0,8,6,4,6,-10
-3,0,8:-4,0,8,10,-6,-8,-8
-3,3,-19:-4,2,0,-8,4,-36,-22
-4,13,22:-4,2,2,-14,-10,4,-6
-4,14,22:-4,2,2,-14,-10,4,6
-4,7,17:-4,2,2,-14,-10,8,6
-4,2,22:-4,2,2,-14,-10,16,18
-4,-2,2:-4,2,2,-14,0,2,6
-3,6,-1:-4,2,2,-8,-4,-6,-4
-3,15,12:-4,2,2,-8,4,-28,2
-3,9,-6:-4,2,6,-14,-18,-8,2
-8,11,-6:-4,2,6,-14,-18,2,4
-4,10,16:-4,2,6,0,-4,-10,-12
-4,12,8:-4,2,6,0,4,6,6
-5,28,-1:-4,2,6,0,14,-14,-20
-4,13,-2:-4,2,6,2,-8,-14,-2
-16,-4,-1:-4,2,6,6,12,-8,-16
-13,-8,-6:-4,2,6,10,0,0,14
-13,-9,-2:-4,2,6,10,4,14,12
-13,-1,8:-4,2,6,10,6,8,10
