0,2,2:-4
-9,-7,6:6,14,8,18,6,8,4
-8,5,9:6,14,8,18,6,4,-2
-9,-6,4:6,14,8,16,4,2,14
-9,7,10:6,14,8,16,-2,-2,8
-9,4,3:6,14,8,16,-6,4,-8
-11,-6,-2:6,14,8,4,6,10,10
-11,0,-3:6,14,8,4,-2,12,16
-8,4,4:6,14,8,2,6,4,6
-21,-14,-3:6,14,8,-2,16,6,4
-21,-7,-5:6,14,8,-2,12,6,-2
-18,6,11:6,14,6,10,8,-2,30
-17,6,11:6,14,6,10,8,-2,28
-17,-14,13:6,14,6,10,8,-2,8
-7,4,11:6,14,6,6,2,12,0
-9,6,5:6,14,6,4,-4,0,-4
-7,5,9:6,14,6,4,-4,-4,-8
-17,-9,7:6,14,2,10,2,4,32
-7,6,13:6,14,2,4,-2,-2,0
-11,-11,5:6,14,-2,8,16,10,10
-10,-2,2:6,14,-2,8,0,8,0
-8,-3,8:6,14,-2,8,0,-4,-8
-7,5,7:6,14,-2,-2,-4,-4,-8
-10,1,8:6,14,-2,-4,-8,16,12
-8,5,4:6,8,16,4,4,-6,4
-11,13,4:6,8,16,4,-6,-16,16
-10,13,4:6,8,16,4,-6,-16,14
-8,8,2:6,8,16,0,-2,4,4
-8,12,8:6,8,16,0,-2,0,-4
-8,6,-2:6,8,16,0,-4,-12,-6
-8,10,-2:6,8,16,0,-8,-6,-16
-8,3,-3:6,8,16,0,-12,-8,-6
-8,7,4:6,8,16,-4,-2,-8,2
-8,6,0:6,8,16,-4,-4,0,-10
-8,26,4:6,8,16,-4,-10,4,-26
-12,2,12:6,8,10,20,22,12,10
-12,-4,15:6,8,10,20,22,8,16
-11,-4,15:6,8,10,20,8,16,12
-29,-5,12:6,8,10,18,8,10,42
-28,-5,12:6,8,10,18,8,10,40
-28,-25,14:6,8,10,18,8,10,20
-12,2,9:6,8,10,12,22,16,12
-17,-15,3:6,8,10,12,22,14,34
-17,-8,7:6,8,10,12,22,14,6
-12,9,11:6,8,10,12,22,12,10
-12,3,10:6,8,10,12,22,4,-2
-16,-16,11:6,8,10,12,14,32,8
-16,-15,15:6,8,10,12,14,22,8
-11,9,11:6,8,10,12,12,10,12
-11,10,13:6,8,10,8,18,18,12
-11,12,14:6,8,10,8,-2,12,12
-12,0,13:6,8,10,4,14,22,18
-12,-4,8:6,8,10,4,4,18,26
-8,-6,-3:6,8,8,18,10,6,4
-9,-5,0:6,8,8,18,2,10,4
-8,-1,-4:6,8,8,18,2,6,0
-8,-1,2:6,8,8,18,0,-6,-6
-14,-1,-8:6,8,8,18,0,-6,-8
-11,-3,-8:6,8,8,16,16,8,8
-9,-2,8:6,8,8,16,16,-2,6
-9,-3,-2:6,8,8,16,10,2,4
-9,-2,6:6,8,8,16,2,2,6
-13,6,-8:6,8,8,6,10,-8,-10
-15,8,3:6,8,8,6,0,10,-2
-13,0,-1:6,8,8,6,-8,-14,4
-8,-7,6:6,8,8,2,8,8,6
-8,-1,-2:6,8,8,2,8,-4,4
-8,-3,0:6,8,8,2,0,4,2
-8,-8,0:6,8,8,2,0,-4,4
-12,-9,0:6,8,8,0,12,20,-4
-13,-12,11:6,8,8,0,12,18,-6
-17,-10,4:6,8,8,0,12,12,-6
-13,7,12:6,8,8,0,0,8,-4
-8,-6,7:6,8,8,0,0,6,0
-8,-2,6:6,8,8,0,-2,10,2
-8,-5,0:6,8,8,0,-4,6,8
-12,1,-5:6,8,8,0,-6,-4,10
-9,2,3:6,8,8,-2,12,4,6
-8,0,8:6,8,8,-2,8,10,4
-8,18,9:6,8,8,-2,8,2,16
-7,-2,7:6,8,6,12,12,4,14
-8,0,6:6,8,6,12,8,12,2
-7,5,0:6,8,6,12,2,-2,-10
-12,-10,10:6,8,6,10,16,18,16
-7,-4,11:6,8,6,10,14,12,10
-10,4,-6:6,8,6,8,10,20,14
-10,2,14:6,8,6,8,10,20,-8
-7,2,8:6,8,6,2,2,12,2
-11,2,17:6,8,2,10,22,20,-6
-11,4,-3:6,8,2,10,22,16,-2
-11,-10,8:6,8,2,10,20,12,16
-12,-3,1:6,8,2,10,14,22,10
-11,-7,4:6,8,2,10,14,12,14
-17,-15,7:6,8,2,4,32,18,20
-17,-10,2:6,8,2,4,32,12,8
-17,-3,7:6,8,2,4,32,6,8
-17,-6,22:6,8,2,4,28,24,16
-17,-11,27:6,8,2,4,16,34,36
-17,1,27:6,8,2,4,16,22,24
-17,0,27:6,8,2,4,16,22,12
-11,4,-2:6,8,-4,10,22,8,-8
-11,-5,13:6,8,-4,10,22,4,14
-12,0,11:6,8,-4,10,12,22,-2
-11,-9,11:6,8,-4,10,10,18,-2
-7,5,-10:6,8,-4,4,16,-20,-10
-7,-2,6:6,8,-4,4,12,14,-12
-11,-3,13:6,8,-4,4,-12,14,22
-7,3,16:6,8,-4,2,-12,12,2
-7,7,4:6,8,-4,-2,-8,2,6
-7,6,0:6,8,-4,-4,0,-10,6
-12,1,10:6,8,-4,-8,16,4,14
-12,7,2:6,8,-4,-8,16,2,0
-12,18,5:6,8,-4,-8,16,-10,-20
-12,-5,6:6,8,-4,-8,6,4,16
-8,8,4:6,6,16,4,-8,0,6
-8,17,15:6,6,16,-2,6,4,-6
-8,-3,17:6,6,16,-8,2,-14,-2
-8,14,13:6,6,16,-8,-4,6,4
-12,12,15:6,6,10,20,22,0,0
-11,12,15:6,6,10,20,0,0,12
-11,4,18:6,6,10,14,18,8,-4
-11,6,11:6,6,10,14,16,8,-6
-11,13,5:6,6,10,14,16,6,-12
-11,-1,16:6,6,10,14,14,14,-4
-11,5,15:6,6,10,14,14,10,-4
-11,12,11:6,6,10,14,12,20,-8
-11,5,12:6,6,10,14,10,18,2
-15,15,4:6,6,10,14,2,8,6
-11,10,10:6,6,10,14,2,-4,18
-12,2,13:6,6,10,4,14,12,-6
-12,-2,13:6,6,10,4,14,8,-6
-11,0,18:6,6,10,-6,10,20,14
-7,10,16:6,6,6,-8,-6,8,0
-7,8,4:6,6,4,-8,0,6,6
-7,-2,-4:6,6,4,-8,-6,2,10
-7,11,3:6,6,4,-8,-10,0,0
-17,-15,5:6,6,0,-10,-12,10,22
-7,5,3:6,6,0,-10,-12,2,-2
-7,17,15:6,6,-2,6,4,-6,6
-7,18,11:6,6,-6,2,-14,6,6
-13,15,7:6,6,-6,-4,2,-8,2
-7,4,22:6,6,-6,-8,2,6,16
-7,14,13:6,6,-8,-4,6,4,6
-7,4,16:6,2,18,8,2,-8,-10
-17,14,2:6,2,18,6,-8,6,14
-9,-7,2:6,2,18,-4,-2,-2,-4
-9,5,-1:6,2,14,14,8,-6,-8
-9,4,0:6,2,14,14,4,6,2
-9,9,16:6,2,14,14,2,2,8
-9,3,7:6,2,14,14,2,-4,-2
-9,12,-4:6,2,14,14,-6,-2,-14
-10,0,-1:6,2,14,12,6,-4,6
-7,2,0:6,2,14,12,6,-6,2
-7,7,6:6,2,14,12,2,-2,-12
-7,11,11:6,2,14,12,0,6,-4
-14,-12,10:6,2,14,6,16,20,18
-7,5,-1:6,2,14,6,-6,-8,6
-7,5,4:6,2,14,2,-6,0,12
-11,7,12:6,2,14,0,4,22,22
-9,-9,12:6,2,14,0,-4,-12,10
-7,2,9:6,2,14,-2,-4,-4,4
-10,1,5:6,2,14,-4,0,10,4
-7,14,-12:6,2,14,-6,-10,-14,-22
-7,11,-6:6,2,14,-6,-10,-18,-16
-27,-9,-2:6,2,14,-8,2,14,10
-7,2,-1:6,2,10,12,4,-6,6
-7,8,10:6,2,10,12,2,-24,-14
-7,10,6:6,2,10,12,0,6,-8
-7,6,12:6,2,10,12,-6,6,2
-16,-12,17:6,2,10,6,-8,-2,16
-11,-1,19:6,2,10,4,6,8,12
-9,-1,19:6,2,10,4,6,8,10
-24,-8,-11:6,2,10,-4,16,22,14
-24,-16,-5:6,2,10,-4,16,20,0
-9,12,1:6,2,10,-4,14,14,-4
-7,3,1:6,2,10,-4,10,-4,12
-8,7,0:6,2,10,-4,-6,2,10
-11,0,0:6,2,10,-4,-8,16,8
-11,-10,-4:6,2,10,-4,-8,16,2
-7,9,2:6,2,10,-6,-8,10,-4
-8,8,7:6,2,10,-6,-8,-2,8
-7,0,2:6,2,4,12,-2,0,-2
-7,-3,8:6,2,4,6,6,16,-6
-8,-3,7:6,2,4,-2,10,-6,-8
-9,-7,4:6,2,4,-2,4,4,14
-8,5,-4:6,2,4,-2,2,10,-6
-7,9,-3:6,2,4,-4,-12,-16,12
-9,8,26:6,2,2,8,12,0,26
-7,11,14:6,2,2,-8,-6,-4,-6
-7,12,12:6,2,2,-8,-6,-4,-12
-11,-8,18:6,2,2,-8,-8,10,16
-7,16,16:6,2,0,8,16,12,-2
-7,7,10:6,2,-2,8,10,8,12
-7,-1,14:6,2,-2,8,6,10,8
-7,8,21:6,2,-2,8,-2,8,16
-7,4,13:6,2,-2,6,0,6,14
-7,8,7:6,2,-2,6,0,-2,8
-7,4,12:6,2,-2,6,0,-6,4
-7,-4,5:6,2,-2,-2,2,8,6
-13,-7,8:6,2,-2,-4,20,16,20
-17,-17,12:6,2,-2,-4,18,24,26
-13,-8,7:6,2,-2,-4,18,22,14
-9,-5,10:6,2,-2,-4,10,10,20
-9,11,23:6,2,-4,8,16,12,0
-7,15,8:6,2,-4,4,-12,-12,-2
-7,1,3:6,2,-4,-2,8,12,4
-7,1,5:6,2,-4,-2,8,12,-4
-9,4,8:6,2,-4,-2,8,4,10
-9,-4,13:6,2,-4,-2,8,-2,14
-9,0,20:6,2,-6,4,16,8,-16
-9,-2,18:6,2,-6,4,4,12,-16
-7,10,10:6,2,-6,-2,6,12,-4
-7,11,7:6,2,-6,-4,4,6,8
-7,16,13:6,2,-6,-4,-2,-4,12
-7,8,1:6,2,-6,-8,8,10,10
-23,-19,4:6,0,2,10,-2,38,24
-22,-19,4:6,0,2,10,-2,24,36
-7,22,14:6,0,0,16,12,-2,8
-7,22,15:6,0,0,16,12,-2,-4
-7,17,8:6,0,0,16,12,-6,-4
-7,22,3:6,0,0,16,12,-14,-16
-7,-3,4:6,0,0,16,10,12,-4
-7,-1,7:6,0,0,10,6,8,6
-14,12,16:6,0,0,10,-2,30,0
-13,12,16:6,0,0,10,-2,0,28
-9,-6,10:6,0,-4,16,20,10,0
-9,-6,12:6,0,-4,16,20,0,-2
-7,16,11:6,0,-4,2,6,12,14
-20,8,13:6,0,-4,2,-2,-4,-4
-15,-1,29:6,0,-4,2,-12,16,22
-10,-2,14:6,0,-4,0,10,16,4
-7,-5,8:6,0,-4,0,4,12,-8
-7,-1,-3:6,0,-4,-4,-10,10,18
-12,-6,-7:6,0,-4,-8,2,2,-12
-12,-2,-8:6,0,-4,-8,-2,-12,-10
-12,8,0:6,0,-4,-8,-4,-6,-8
-12,8,-2:6,0,-4,-8,-4,-14,-14
-12,-2,-6:6,0,-4,-8,-12,-8,-8
-12,-9,20:6,-2,12,10,0,10,6
-7,-1,11:6,-2,12,8,10,4,6
-7,3,10:6,-2,12,8,6,2,10
-7,24,3:6,-2,12,8,6,-4,-10
-7,-3,6:6,-2,12,8,2,6,2
-11,-5,11:6,-2,12,4,22,16,12
-10,-6,19:6,-2,12,4,20,22,18
-8,-7,19:6,-2,12,2,16,28,2
-13,11,18:6,-2,12,2,10,0,32
-12,11,18:6,-2,12,2,10,0,30
-12,7,15:6,-2,12,0,18,28,48
-7,1,14:6,-2,12,0,8,18,6
-7,-1,13:6,-2,10,18,18,10,0
-7,0,13:6,-2,10,18,14,18,0
-19,-9,10:6,-2,10,16,22,24,12
-10,-10,17:6,-2,10,16,22,24,0
-18,-7,3:6,-2,10,16,20,2,4
-10,5,12:6,-2,10,16,14,12,0
-10,0,-9:6,-2,10,16,14,8,-10
-9,3,13:6,-2,10,14,16,20,2
-7,2,13:6,-2,10,14,6,16,0
-19,-12,20:6,-2,6,28,14,24,12
-19,-14,4:6,-2,6,28,14,20,26
-20,-8,14:6,-2,6,28,14,10,12
-19,-17,8:6,-2,6,28,12,20,20
-20,-16,7:6,-2,6,28,12,18,28
-19,-16,8:6,-2,6,24,24,18,20
-19,-17,16:6,-2,6,18,24,28,26
-21,-8,23:6,-2,6,18,16,34,24
-30,-15,26:6,-2,6,14,12,44,30
-30,-15,14:6,-2,6,14,12,42,34
-8,-6,-4:6,-2,4,16,6,16,8
-7,3,-2:6,-2,4,16,0,-10,-8
-7,2,1:6,-2,4,14,4,4,16
-7,7,-5:6,-2,4,14,0,-8,16
-7,-1,-8:6,-2,4,14,-4,14,-12
-7,-3,-3:6,-2,4,14,-4,4,-6
-9,-6,18:6,-2,4,10,14,12,6
-8,5,12:6,-2,4,10,2,12,18
-7,5,12:6,-2,4,10,2,12,14
-8,5,1:6,-2,4,10,0,-4,18
-8,4,15:6,-2,4,10,-4,0,4
-8,6,6:6,-2,4,0,-4,18,0
-15,11,5:6,-2,4,0,-10,0,24
-15,-8,13:6,-2,4,0,-10,0,-4
-9,0,14:6,-2,4,0,-10,-8,-2
-11,10,3:6,-2,4,-4,2,26,-4
-15,-1,6:6,-2,4,-4,0,30,4
-11,-10,19:6,-2,4,-4,-2,2,24
-7,16,8:6,-2,-2,8,-6,-12,0
-8,-7,2:6,-2,-2,-2,-8,14,6
-8,-4,7:6,-2,-2,-4,16,16,-6
-12,9,8:6,-2,-4,0,18,12,-10
-8,9,8:6,-2,-4,0,12,-10,16
-8,14,8:6,-2,-4,-2,10,2,-10
-4,11,19:-4,6,6,16,14,4,-12
-4,13,-1:-4,6,6,16,-8,-18,10
-6,7,10:-4,6,6,14,8,16,-2
-4,2,15:-4,6,6,14,2,10,0
-5,10,-2:-4,6,6,8,16,0,-8
-5,7,4:-4,6,6,8,16,-4,-2
-5,-5,4:-4,6,6,8,8,18,6
-6,-2,8:-4,6,6,8,8,16,-2
-4,-2,7:-4,6,6,8,6,12,12
-4,2,8:-4,6,6,8,6,2,2
-4,5,-10:-4,6,6,8,-4,4,16
-4,7,4:-4,6,6,8,-4,-2,6
-5,17,15:-4,6,6,6,16,-2,6
-4,17,15:-4,6,6,6,-2,6,6
-4,11,11:-4,6,6,2,14,12,0
-4,-3,8:-4,6,6,2,4,6,-6
-4,4,16:-4,6,6,2,2,-8,-10
-6,-5,8:-4,6,6,2,-2,-4,16
-4,15,8:-4,6,6,2,-4,4,-12
-7,-5,11:-4,6,6,-2,12,4,16
-4,1,14:-4,6,6,-2,12,0,6
-4,2,13:-4,6,6,-2,10,14,0
-1,13,-1:-4,6,-4,6,6,16,10
-1,11,19:-4,6,-4,6,6,16,-12
-1,3,6:-4,6,-4,-4,4,-14,-2
-1,6,2:-4,6,-4,-4,-6,-4,-6
-8,10,-1:-4,6,-4,-4,-12,-4,-8
-7,19,11:-4,6,-4,-4,-14,18,-12
-6,-1,13:-4,6,-4,-4,-14,10,-4
